PERMISSION NOTICE

The Microsoft “Terms of Use” (available at the www.microsoft.com website) govern all glossary terms in this document (“Glossary Terms”).  The following supplemental terms and conditions also apply.  If there is any conflict between the Terms of Use and the following terms and conditions, the following terms and conditions will take
Precedence over the Terms of Use.
         
1. No part of the Glossary Terms may be reproduced, adapted, distributed, or transmitted in any form or by any means, electronic, mechanical, or otherwise, including photocopying and entry into an information storage and/or retrieval system, for any purpose without the prior express consent of Microsoft Corporation. 

2. You may use the Glossary Terms in the development of any application software and you may also use the Glossary Terms for personal or non-commercial purposes only without the prior written consent of Microsoft Corporation, and only if all copies contain this Permission Notice and the Microsoft copyright notice in the Terms of Use.         
                                                                                                                                
3. You are not permitted to make any modifications, deletions or additions to the Glossary Terms.
 
4. Except as expressly set forth above, Microsoft’s publication of the Glossary Terms does not grant any rights to use, distribute, or implement any technology or intellectual property rights. All rights not expressly granted herein are expressly reserved by Microsoft.
"Source Term",,"Translation",,"String Category",,"Platform",,"Product",,"Version"
"Assign a single task to each group entered. (Don't expand groups.)",,"Tildel hver angivet gruppe en enkelt opgave (udvid ikke grupper).",,"None",,"All",,"Sharepoint Designer",,""
"CC participants will not be assigned tasks but will be notified of the workflow's starting.",,"CC-deltagere tildeles ikke opgaver, men får besked om start af arbejdsprocessen.",,"None",,"All",,"Sharepoint Designer",,""
"Enter participants to include in your workflow. Each person will be assigned a task to review your document.",,"Indtast deltagere til arbejdsprocessen. Hver enkelt person tildeles en opgave i forbindelse med gennemsyn af dokumentet.",,"None",,"All",,"Sharepoint Designer",,""
"Time interval",,"Tidsinterval",,"None",,"All",,"Sharepoint Designer",,""
"Number of days/weeks",,"Antal dage/uger",,"None",,"All",,"Sharepoint Designer",,""
"Required tasks",,"Obligatoriske opgaver",,"None",,"All",,"Sharepoint Designer",,""
"Task instruction will be included in the tasks assigned to each participant.",,"Opgaveanvisninger vil være inkluderet i de opgaver, der tildeles hver enkelt deltager.",,"None",,"All",,"Sharepoint Designer",,""
"Approvers...",,"Godkendere...",,"None",,"All",,"Sharepoint Designer",,""
"Reviewers...",,"Korrekturlæsere...",,"None",,"All",,"Sharepoint Designer",,""
"To request approval for this document, type the names of the people who need to approve it on the <strong>Approvers</strong> line.&#160; Each person will be assigned a task to approve your document. You will receive an e-mail when the request is sent and once everyone has finished their tasks.",,"Hvis du vil anmode om godkendelse af dette dokument, skal du indtaste navnene på de brugere, der skal godkende det, på linjen <strong>Godkendere</strong>.&#160; Hver bruger bliver tildelt en opgave vedrørende at godkende dokumentet. Du modtager en mail, når anmodningen sendes, og når hver af brugerne har fuldført opgaven.",,"None",,"All",,"Sharepoint Designer",,""
"To notify other people about this workflow starting without assigning tasks, type names on the <strong>CC</strong> line.",,"Hvis du vil give andre brugere besked om, at arbejdsprocessen starter, uden at tildele opgaver, skal du indtaste navnene på linjen <strong>Cc</strong>.",,"None",,"All",,"Sharepoint Designer",,""
"<strong>Complete this workflow</strong>",,"<strong>Fuldfør denne arbejdsproces</strong>",,"None",,"All",,"Sharepoint Designer",,""
"<strong>Due Date</strong>",,"<strong>Forfaldsdato</strong>",,"None",,"All",,"Sharepoint Designer",,""
"<strong>Notify Others</strong>",,"<strong>Giv andre besked</strong>",,"None",,"All",,"Sharepoint Designer",,""
